county_name,state_name,country_name
Baldwin County,Alabama,USA
Barbour County,Alabama,USA
Bibb County,Alabama,USA
Blount County,Alabama,USA
Bullock County,Alabama,USA
Butler County,Alabama,USA
Calhoun County,Alabama,USA
Chambers County,Alabama,USA
Cherokee County,Alabama,USA
Chilton County,Alabama,USA
Clarke County,Alabama,USA
Cleburne County,Alabama,USA
Coffee County,Alabama,USA
Colbert County,Alabama,USA
Conecuh County,Alabama,USA
Covington County,Alabama,USA
Crenshaw County,Alabama,USA
Cullman County,Alabama,USA
Dale County,Alabama,USA
Dallas County,Alabama,USA
DeKalb County,Alabama,USA
Escambia County,Alabama,USA
Etowah County,Alabama,USA
Fayette County,Alabama,USA
Franklin County,Alabama,USA
Geneva County,Alabama,USA
Greene County,Alabama,USA
Hale County,Alabama,USA
Henry County,Alabama,USA
Jackson County,Alabama,USA
Jefferson County,Alabama,USA
Lamar County,Alabama,USA
Lauderdale County,Alabama,USA
Lawrence County,Alabama,USA
Lee County,Alabama,USA
Limestone County,Alabama,USA
Madison County,Alabama,USA
Marengo County,Alabama,USA
Marion County,Alabama,USA
Marshall County,Alabama,USA
Mobile County,Alabama,USA
Montgomery County,Alabama,USA
Morgan County,Alabama,USA
Pike County,Alabama,USA
Randolph County,Alabama,USA
Russell County,Alabama,USA
Shelby County,Alabama,USA
Sumter County,Alabama,USA
Talladega County,Alabama,USA
Tallapoosa County,Alabama,USA
Tuscaloosa County,Alabama,USA
Winston County,Alabama,USA
Northwest Arctic Borough,Alaska,USA
Southeast Fairbanks Census Area,Alaska,USA
Apache County,Arizona,USA
Cochise County,Arizona,USA
Coconino County,Arizona,USA
Gila County,Arizona,USA
Graham County,Arizona,USA
Greenlee County,Arizona,USA
La Paz County,Arizona,USA
Maricopa County,Arizona,USA
Mohave County,Arizona,USA
Navajo County,Arizona,USA
Pima County,Arizona,USA
Pinal County,Arizona,USA
Santa Cruz County,Arizona,USA
Yavapai County,Arizona,USA
Yuma County,Arizona,USA
Arkansas County,Arkansas,USA
Ashley County,Arkansas,USA
Baxter County,Arkansas,USA
Benton County,Arkansas,USA
Boone County,Arkansas,USA
Chicot County,Arkansas,USA
Clark County,Arkansas,USA
Clay County,Arkansas,USA
Columbia County,Arkansas,USA
Conway County,Arkansas,USA
Craighead County,Arkansas,USA
Crawford County,Arkansas,USA
Crittenden County,Arkansas,USA
Desha County,Arkansas,USA
Drew County,Arkansas,USA
Faulkner County,Arkansas,USA
Fulton County,Arkansas,USA
Garland County,Arkansas,USA
Grant County,Arkansas,USA
Hempstead County,Arkansas,USA
Hot Spring County,Arkansas,USA
Howard County,Arkansas,USA
Independence County,Arkansas,USA
Izard County,Arkansas,USA
Johnson County,Arkansas,USA
Lafayette County,Arkansas,USA
Lincoln County,Arkansas,USA
Little River County,Arkansas,USA
Logan County,Arkansas,USA
Lonoke County,Arkansas,USA
Miller County,Arkansas,USA
Mississippi County,Arkansas,USA
Nevada County,Arkansas,USA
Ouachita County,Arkansas,USA
Perry County,Arkansas,USA
Poinsett County,Arkansas,USA
Polk County,Arkansas,USA
Pope County,Arkansas,USA
Prairie County,Arkansas,USA
Pulaski County,Arkansas,USA
Saline County,Arkansas,USA
Scott County,Arkansas,USA
Searcy County,Arkansas,USA
Sebastian County,Arkansas,USA
Sevier County,Arkansas,USA
Sharp County,Arkansas,USA
Stone County,Arkansas,USA
Union County,Arkansas,USA
Washington County,Arkansas,USA
White County,Arkansas,USA
Yell County,Arkansas,USA
Alameda County,California,USA
Amador County,California,USA
Butte County,California,USA
Calaveras County,California,USA
Colusa County,California,USA
Contra Costa County,California,USA
Del Norte County,California,USA
El Dorado County,California,USA
Fresno County,California,USA
Glenn County,California,USA
Humboldt County,California,USA
Imperial County,California,USA
Inyo County,California,USA
Kern County,California,USA
Kings County,California,USA
Lake County,California,USA
Lassen County,California,USA
Los Angeles County,California,USA
Madera County,California,USA
Marin County,California,USA
Mariposa County,California,USA
Mendocino County,California,USA
Merced County,California,USA
Modoc County,California,USA
Mono County,California,USA
Monterey County,California,USA
Napa County,California,USA
Orange County,California,USA
Placer County,California,USA
Plumas County,California,USA
Riverside County,California,USA
Sacramento County,California,USA
San Benito County,California,USA
San Bernardino County,California,USA
San Diego County,California,USA
San Francisco County,California,USA
San Joaquin County,California,USA
San Luis Obispo County,California,USA
San Mateo County,California,USA
Santa Barbara County,California,USA
Santa Clara County,California,USA
Shasta County,California,USA
Sierra County,California,USA
Siskiyou County,California,USA
Solano County,California,USA
Sonoma County,California,USA
Stanislaus County,California,USA
Tehama County,California,USA
Trinity County,California,USA
Tulare County,California,USA
Tuolumne County,California,USA
Ventura County,California,USA
Yolo County,California,USA
Yuba County,California,USA
Adams County,Colorado,USA
Alamosa County,Colorado,USA
Arapahoe County,Colorado,USA
Archuleta County,Colorado,USA
Baca County,Colorado,USA
Bent County,Colorado,USA
Boulder County,Colorado,USA
Chaffee County,Colorado,USA
Cheyenne County,Colorado,USA
Clear Creek County,Colorado,USA
Conejos County,Colorado,USA
Costilla County,Colorado,USA
Crowley County,Colorado,USA
Custer County,Colorado,USA
Delta County,Colorado,USA
Denver County,Colorado,USA
Douglas County,Colorado,USA
Eagle County,Colorado,USA
Elbert County,Colorado,USA
El Paso County,Colorado,USA
Fremont County,Colorado,USA
Garfield County,Colorado,USA
Gilpin County,Colorado,USA
Grand County,Colorado,USA
Gunnison County,Colorado,USA
Huerfano County,Colorado,USA
Kit Carson County,Colorado,USA
La Plata County,Colorado,USA
Larimer County,Colorado,USA
Las Animas County,Colorado,USA
Mesa County,Colorado,USA
Moffat County,Colorado,USA
Montezuma County,Colorado,USA
Montrose County,Colorado,USA
Otero County,Colorado,USA
Ouray County,Colorado,USA
Park County,Colorado,USA
Phillips County,Colorado,USA
Pitkin County,Colorado,USA
Prowers County,Colorado,USA
Pueblo County,Colorado,USA
Rio Blanco County,Colorado,USA
Rio Grande County,Colorado,USA
Routt County,Colorado,USA
Saguache County,Colorado,USA
San Miguel County,Colorado,USA
Sedgwick County,Colorado,USA
Summit County,Colorado,USA
Teller County,Colorado,USA
Weld County,Colorado,USA
Fairfield County,Connecticut,USA
Hartford County,Connecticut,USA
Litchfield County,Connecticut,USA
New Haven County,Connecticut,USA
New London County,Connecticut,USA
Tolland County,Connecticut,USA
Windham County,Connecticut,USA
Kent County,Delaware,USA
New Castle County,Delaware,USA
Sussex County,Delaware,USA
Alachua County,Florida,USA
Baker County,Florida,USA
Bay County,Florida,USA
Brevard County,Florida,USA
Broward County,Florida,USA
Charlotte County,Florida,USA
Citrus County,Florida,USA
Collier County,Florida,USA
DeSoto County,Florida,USA
Dixie County,Florida,USA
Duval County,Florida,USA
Flagler County,Florida,USA
Gadsden County,Florida,USA
Glades County,Florida,USA
Gulf County,Florida,USA
Hamilton County,Florida,USA
Hardee County,Florida,USA
Hendry County,Florida,USA
Hernando County,Florida,USA
Highlands County,Florida,USA
Hillsborough County,Florida,USA
Holmes County,Florida,USA
Indian River County,Florida,USA
Leon County,Florida,USA
Liberty County,Florida,USA
Manatee County,Florida,USA
Martin County,Florida,USA
Miami-Dade County,Florida,USA
Monroe County,Florida,USA
Nassau County,Florida,USA
Okaloosa County,Florida,USA
Okeechobee County,Florida,USA
Osceola County,Florida,USA
Palm Beach County,Florida,USA
Pinellas County,Florida,USA
Putnam County,Florida,USA
St. Johns County,Florida,USA
St. Lucie County,Florida,USA
Santa Rosa County,Florida,USA
Sarasota County,Florida,USA
Seminole County,Florida,USA
Suwannee County,Florida,USA
Taylor County,Florida,USA
Volusia County,Florida,USA
Wakulla County,Florida,USA
Appling County,Georgia,USA
Bacon County,Georgia,USA
Banks County,Georgia,USA
Bartow County,Georgia,USA
Bulloch County,Georgia,USA
Burke County,Georgia,USA
Camden County,Georgia,USA
Candler County,Georgia,USA
Carroll County,Georgia,USA
Charlton County,Georgia,USA
Chatham County,Georgia,USA
Chattooga County,Georgia,USA
Clayton County,Georgia,USA
Colquitt County,Georgia,USA
Cook County,Georgia,USA
Coweta County,Georgia,USA
Crisp County,Georgia,USA
Dodge County,Georgia,USA
Dougherty County,Georgia,USA
Floyd County,Georgia,USA
Forsyth County,Georgia,USA
Gilmer County,Georgia,USA
Glynn County,Georgia,USA
Grady County,Georgia,USA
Habersham County,Georgia,USA
Hall County,Georgia,USA
Harris County,Georgia,USA
Hart County,Georgia,USA
Houston County,Georgia,USA
Jasper County,Georgia,USA
Laurens County,Georgia,USA
Lowndes County,Georgia,USA
Lumpkin County,Georgia,USA
McDuffie County,Georgia,USA
McIntosh County,Georgia,USA
Mitchell County,Georgia,USA
Murray County,Georgia,USA
Muscogee County,Georgia,USA
Oconee County,Georgia,USA
Paulding County,Georgia,USA
Pickens County,Georgia,USA
Rabun County,Georgia,USA
Richmond County,Georgia,USA
Screven County,Georgia,USA
Stephens County,Georgia,USA
Telfair County,Georgia,USA
Tift County,Georgia,USA
Towns County,Georgia,USA
Walker County,Georgia,USA
Ware County,Georgia,USA
Wilkes County,Georgia,USA
Worth County,Georgia,USA
Hawaii County,Hawaii,USA
Honolulu County,Hawaii,USA
Kauai County,Hawaii,USA
Maui County,Hawaii,USA
Ada County,Idaho,USA
Bannock County,Idaho,USA
Bear Lake County,Idaho,USA
Benewah County,Idaho,USA
Bingham County,Idaho,USA
Blaine County,Idaho,USA
Boise County,Idaho,USA
Bonner County,Idaho,USA
Bonneville County,Idaho,USA
Boundary County,Idaho,USA
Canyon County,Idaho,USA
Caribou County,Idaho,USA
Cassia County,Idaho,USA
Clearwater County,Idaho,USA
Elmore County,Idaho,USA
Gem County,Idaho,USA
Idaho County,Idaho,USA
Jerome County,Idaho,USA
Kootenai County,Idaho,USA
Latah County,Idaho,USA
Lemhi County,Idaho,USA
Lewis County,Idaho,USA
Minidoka County,Idaho,USA
Nez Perce County,Idaho,USA
Oneida County,Idaho,USA
Owyhee County,Idaho,USA
Payette County,Idaho,USA
Power County,Idaho,USA
Shoshone County,Idaho,USA
Teton County,Idaho,USA
Twin Falls County,Idaho,USA
Valley County,Idaho,USA
Alexander County,Illinois,USA
Bureau County,Illinois,USA
Champaign County,Illinois,USA
Christian County,Illinois,USA
Coles County,Illinois,USA
Cumberland County,Illinois,USA
DuPage County,Illinois,USA
Edgar County,Illinois,USA
Effingham County,Illinois,USA
Ford County,Illinois,USA
Grundy County,Illinois,USA
Hancock County,Illinois,USA
Hardin County,Illinois,USA
Henderson County,Illinois,USA
Iroquois County,Illinois,USA
Jersey County,Illinois,USA
Jo Daviess County,Illinois,USA
Kane County,Illinois,USA
Kankakee County,Illinois,USA
Knox County,Illinois,USA
LaSalle County,Illinois,USA
Livingston County,Illinois,USA
McDonough County,Illinois,USA
McHenry County,Illinois,USA
McLean County,Illinois,USA
Macon County,Illinois,USA
Menard County,Illinois,USA
Mercer County,Illinois,USA
Moultrie County,Illinois,USA
Peoria County,Illinois,USA
Richland County,Illinois,USA
Rock Island County,Illinois,USA
St. Clair County,Illinois,USA
Sangamon County,Illinois,USA
Stephenson County,Illinois,USA
Vermilion County,Illinois,USA
Warren County,Illinois,USA
Whiteside County,Illinois,USA
Will County,Illinois,USA
Williamson County,Illinois,USA
Winnebago County,Illinois,USA
Woodford County,Illinois,USA
Allen County,Indiana,USA
Bartholomew County,Indiana,USA
Blackford County,Indiana,USA
Cass County,Indiana,USA
Clinton County,Indiana,USA
Daviess County,Indiana,USA
Decatur County,Indiana,USA
Delaware County,Indiana,USA
Dubois County,Indiana,USA
Elkhart County,Indiana,USA
Hendricks County,Indiana,USA
Huntington County,Indiana,USA
Jennings County,Indiana,USA
Kosciusko County,Indiana,USA
LaPorte County,Indiana,USA
Owen County,Indiana,USA
Parke County,Indiana,USA
Porter County,Indiana,USA
Posey County,Indiana,USA
Ripley County,Indiana,USA
Rush County,Indiana,USA
St. Joseph County,Indiana,USA
Starke County,Indiana,USA
Steuben County,Indiana,USA
Sullivan County,Indiana,USA
Tippecanoe County,Indiana,USA
Tipton County,Indiana,USA
Vanderburgh County,Indiana,USA
Vermillion County,Indiana,USA
Vigo County,Indiana,USA
Wabash County,Indiana,USA
Warrick County,Indiana,USA
Wayne County,Indiana,USA
Whitley County,Indiana,USA
Adair County,Iowa,USA
Allamakee County,Iowa,USA
Appanoose County,Iowa,USA
Audubon County,Iowa,USA
Black Hawk County,Iowa,USA
Bremer County,Iowa,USA
Buchanan County,Iowa,USA
Buena Vista County,Iowa,USA
Cedar County,Iowa,USA
Cerro Gordo County,Iowa,USA
Chickasaw County,Iowa,USA
Davis County,Iowa,USA
Des Moines County,Iowa,USA
Dickinson County,Iowa,USA
Dubuque County,Iowa,USA
Emmet County,Iowa,USA
Guthrie County,Iowa,USA
Harrison County,Iowa,USA
Ida County,Iowa,USA
Iowa County,Iowa,USA
Jones County,Iowa,USA
Keokuk County,Iowa,USA
Kossuth County,Iowa,USA
Linn County,Iowa,USA
Lucas County,Iowa,USA
Lyon County,Iowa,USA
Mahaska County,Iowa,USA
Monona County,Iowa,USA
Muscatine County,Iowa,USA
O'Brien County,Iowa,USA
Page County,Iowa,USA
Palo Alto County,Iowa,USA
Plymouth County,Iowa,USA
Pocahontas County,Iowa,USA
Pottawattamie County,Iowa,USA
Ringgold County,Iowa,USA
Sac County,Iowa,USA
Sioux County,Iowa,USA
Story County,Iowa,USA
Tama County,Iowa,USA
Van Buren County,Iowa,USA
Wapello County,Iowa,USA
Webster County,Iowa,USA
Winneshiek County,Iowa,USA
Woodbury County,Iowa,USA
Wright County,Iowa,USA
Anderson County,Kansas,USA
Barber County,Kansas,USA
Barton County,Kansas,USA
Brown County,Kansas,USA
Chase County,Kansas,USA
Chautauqua County,Kansas,USA
Cloud County,Kansas,USA
Coffey County,Kansas,USA
Comanche County,Kansas,USA
Cowley County,Kansas,USA
Doniphan County,Kansas,USA
Elk County,Kansas,USA
Ellis County,Kansas,USA
Ellsworth County,Kansas,USA
Finney County,Kansas,USA
Geary County,Kansas,USA
Gove County,Kansas,USA
Gray County,Kansas,USA
Greeley County,Kansas,USA
Greenwood County,Kansas,USA
Harper County,Kansas,USA
Harvey County,Kansas,USA
Hodgeman County,Kansas,USA
Jewell County,Kansas,USA
Kearny County,Kansas,USA
Kingman County,Kansas,USA
Kiowa County,Kansas,USA
Labette County,Kansas,USA
Lane County,Kansas,USA
Leavenworth County,Kansas,USA
McPherson County,Kansas,USA
Meade County,Kansas,USA
Miami County,Kansas,USA
Morris County,Kansas,USA
Morton County,Kansas,USA
Nemaha County,Kansas,USA
Neosho County,Kansas,USA
Norton County,Kansas,USA
Osage County,Kansas,USA
Ottawa County,Kansas,USA
Pawnee County,Kansas,USA
Pottawatomie County,Kansas,USA
Pratt County,Kansas,USA
Rawlins County,Kansas,USA
Reno County,Kansas,USA
Republic County,Kansas,USA
Rice County,Kansas,USA
Riley County,Kansas,USA
Rooks County,Kansas,USA
Seward County,Kansas,USA
Shawnee County,Kansas,USA
Sheridan County,Kansas,USA
Sherman County,Kansas,USA
Smith County,Kansas,USA
Stafford County,Kansas,USA
Stanton County,Kansas,USA
Stevens County,Kansas,USA
Sumner County,Kansas,USA
Thomas County,Kansas,USA
Trego County,Kansas,USA
Wabaunsee County,Kansas,USA
Wilson County,Kansas,USA
Woodson County,Kansas,USA
Wyandotte County,Kansas,USA
Barren County,Kentucky,USA
Bath County,Kentucky,USA
Boyd County,Kentucky,USA
Boyle County,Kentucky,USA
Bracken County,Kentucky,USA
Breathitt County,Kentucky,USA
Breckinridge County,Kentucky,USA
Bullitt County,Kentucky,USA
Caldwell County,Kentucky,USA
Calloway County,Kentucky,USA
Carter County,Kentucky,USA
Edmonson County,Kentucky,USA
Estill County,Kentucky,USA
Fleming County,Kentucky,USA
Gallatin County,Kentucky,USA
Garrard County,Kentucky,USA
Grayson County,Kentucky,USA
Greenup County,Kentucky,USA
Hopkins County,Kentucky,USA
Laurel County,Kentucky,USA
Letcher County,Kentucky,USA
McCracken County,Kentucky,USA
McCreary County,Kentucky,USA
Magoffin County,Kentucky,USA
Mason County,Kentucky,USA
Metcalfe County,Kentucky,USA
Muhlenberg County,Kentucky,USA
Nelson County,Kentucky,USA
Ohio County,Kentucky,USA
Owsley County,Kentucky,USA
Powell County,Kentucky,USA
Rowan County,Kentucky,USA
Spencer County,Kentucky,USA
Todd County,Kentucky,USA
Trigg County,Kentucky,USA
Allen Parish,Louisiana,USA
Ascension Parish,Louisiana,USA
Assumption Parish,Louisiana,USA
Avoyelles Parish,Louisiana,USA
Bienville Parish,Louisiana,USA
Bossier Parish,Louisiana,USA
Caddo Parish,Louisiana,USA
Calcasieu Parish,Louisiana,USA
Caldwell Parish,Louisiana,USA
Cameron Parish,Louisiana,USA
Catahoula Parish,Louisiana,USA
Claiborne Parish,Louisiana,USA
Concordia Parish,Louisiana,USA
East Baton Rouge Parish,Louisiana,USA
Iberia Parish,Louisiana,USA
Iberville Parish,Louisiana,USA
Jackson Parish,Louisiana,USA
Jefferson Parish,Louisiana,USA
Jefferson Davis Parish,Louisiana,USA
Lafayette Parish,Louisiana,USA
Lafourche Parish,Louisiana,USA
LaSalle Parish,Louisiana,USA
Lincoln Parish,Louisiana,USA
Madison Parish,Louisiana,USA
Natchitoches Parish,Louisiana,USA
Orleans Parish,Louisiana,USA
Ouachita Parish,Louisiana,USA
Pointe Coupee Parish,Louisiana,USA
Rapides Parish,Louisiana,USA
Sabine Parish,Louisiana,USA
St. Bernard Parish,Louisiana,USA
St. Landry Parish,Louisiana,USA
St. Martin Parish,Louisiana,USA
St. Mary Parish,Louisiana,USA
St. Tammany Parish,Louisiana,USA
Tensas Parish,Louisiana,USA
Terrebonne Parish,Louisiana,USA
Union Parish,Louisiana,USA
Vermilion Parish,Louisiana,USA
Vernon Parish,Louisiana,USA
Webster Parish,Louisiana,USA
West Feliciana Parish,Louisiana,USA
Androscoggin County,Maine,USA
Aroostook County,Maine,USA
Kennebec County,Maine,USA
Oxford County,Maine,USA
Penobscot County,Maine,USA
Piscataquis County,Maine,USA
Sagadahoc County,Maine,USA
Somerset County,Maine,USA
Waldo County,Maine,USA
York County,Maine,USA
Allegany County,Maryland,USA
Anne Arundel County,Maryland,USA
Baltimore County,Maryland,USA
Dorchester County,Maryland,USA
Frederick County,Maryland,USA
Garrett County,Maryland,USA
Harford County,Maryland,USA
Prince George's County,Maryland,USA
Queen Anne's County,Maryland,USA
St. Mary's County,Maryland,USA
Wicomico County,Maryland,USA
Worcester County,Maryland,USA
Barnstable County,Massachusetts,USA
Berkshire County,Massachusetts,USA
Bristol County,Massachusetts,USA
Dukes County,Massachusetts,USA
Essex County,Massachusetts,USA
Hampden County,Massachusetts,USA
Hampshire County,Massachusetts,USA
Middlesex County,Massachusetts,USA
Nantucket County,Massachusetts,USA
Norfolk County,Massachusetts,USA
Suffolk County,Massachusetts,USA
Alcona County,Michigan,USA
Alger County,Michigan,USA
Allegan County,Michigan,USA
Alpena County,Michigan,USA
Arenac County,Michigan,USA
Baraga County,Michigan,USA
Barry County,Michigan,USA
Benzie County,Michigan,USA
Berrien County,Michigan,USA
Branch County,Michigan,USA
Charlevoix County,Michigan,USA
Cheboygan County,Michigan,USA
Chippewa County,Michigan,USA
Eaton County,Michigan,USA
Genesee County,Michigan,USA
Gladwin County,Michigan,USA
Gogebic County,Michigan,USA
Grand Traverse County,Michigan,USA
Hillsdale County,Michigan,USA
Houghton County,Michigan,USA
Huron County,Michigan,USA
Ingham County,Michigan,USA
Iosco County,Michigan,USA
Iron County,Michigan,USA
Isabella County,Michigan,USA
Kalamazoo County,Michigan,USA
Kalkaska County,Michigan,USA
Lapeer County,Michigan,USA
Leelanau County,Michigan,USA
Lenawee County,Michigan,USA
Luce County,Michigan,USA
Mackinac County,Michigan,USA
Macomb County,Michigan,USA
Manistee County,Michigan,USA
Marquette County,Michigan,USA
Mecosta County,Michigan,USA
Midland County,Michigan,USA
Missaukee County,Michigan,USA
Montcalm County,Michigan,USA
Montmorency County,Michigan,USA
Muskegon County,Michigan,USA
Newaygo County,Michigan,USA
Oakland County,Michigan,USA
Ogemaw County,Michigan,USA
Ontonagon County,Michigan,USA
Oscoda County,Michigan,USA
Otsego County,Michigan,USA
Presque Isle County,Michigan,USA
Roscommon County,Michigan,USA
Saginaw County,Michigan,USA
Sanilac County,Michigan,USA
Schoolcraft County,Michigan,USA
Shiawassee County,Michigan,USA
Tuscola County,Michigan,USA
Washtenaw County,Michigan,USA
Wexford County,Michigan,USA
Aitkin County,Minnesota,USA
Anoka County,Minnesota,USA
Becker County,Minnesota,USA
Beltrami County,Minnesota,USA
Big Stone County,Minnesota,USA
Carlton County,Minnesota,USA
Carver County,Minnesota,USA
Chisago County,Minnesota,USA
Cottonwood County,Minnesota,USA
Crow Wing County,Minnesota,USA
Dakota County,Minnesota,USA
Faribault County,Minnesota,USA
Fillmore County,Minnesota,USA
Freeborn County,Minnesota,USA
Goodhue County,Minnesota,USA
Hennepin County,Minnesota,USA
Hubbard County,Minnesota,USA
Isanti County,Minnesota,USA
Itasca County,Minnesota,USA
Kanabec County,Minnesota,USA
Kandiyohi County,Minnesota,USA
Kittson County,Minnesota,USA
Koochiching County,Minnesota,USA
Lac qui Parle County,Minnesota,USA
Lake of the Woods County,Minnesota,USA
Le Sueur County,Minnesota,USA
McLeod County,Minnesota,USA
Meeker County,Minnesota,USA
Mille Lacs County,Minnesota,USA
Morrison County,Minnesota,USA
Mower County,Minnesota,USA
Nicollet County,Minnesota,USA
Nobles County,Minnesota,USA
Norman County,Minnesota,USA
Olmsted County,Minnesota,USA
Otter Tail County,Minnesota,USA
